Run,Step,Probability of Winning
0,0,0.3678333333333334
0,1,0.5708333333333333
0,2,0.5676666666666667
0,3,0.5871666666666667
0,4,0.5693333333333332
0,5,0.5544999999999999
0,6,0.6001666666666666
0,7,0.5835
0,8,0.5628333333333333
0,9,0.5553333333333332
0,10,0.5208333333333334
0,11,0.5358333333333334
0,12,0.5605
0,13,0.5249999999999999
0,14,0.56
0,15,0.5528333333333333
0,16,0.5476666666666666
0,17,0.559
0,18,0.4626666666666667
0,19,0.5110000000000001
0,20,0.5551666666666666
0,21,0.5166666666666667
0,22,0.5066666666666666
0,23,0.4841666666666667
0,24,0.4825
0,25,0.515
0,26,0.4793333333333334
0,27,0.5223333333333333
0,28,0.49050000000000005
0,29,0.5073333333333333
0,30,0.526
0,31,0.5351666666666666
0,32,0.5546666666666666
0,33,0.5509999999999999
0,34,0.4831666666666667
0,35,0.47783333333333333
0,36,0.5193333333333334
0,37,0.516
0,38,0.5261666666666666
0,39,0.563
0,40,0.528
0,41,0.503
0,42,0.5536666666666666
0,43,0.5315
0,44,0.5208333333333334
0,45,0.4981666666666667
0,46,0.4908333333333333
0,47,0.533
0,48,0.5476666666666666
0,49,0.5436666666666666
1,0,0.3926666666666667
1,1,0.5856666666666666
1,2,0.5338333333333333
1,3,0.5846666666666668
1,4,0.579
1,5,0.529
1,6,0.5575
1,7,0.5395
1,8,0.5836666666666667
1,9,0.6084999999999999
1,10,0.6053333333333333
1,11,0.5736666666666667
1,12,0.5693333333333334
1,13,0.5433333333333334
1,14,0.566
1,15,0.4953333333333334
1,16,0.5301666666666666
1,17,0.5326666666666666
1,18,0.5195
1,19,0.4866666666666667
1,20,0.5518333333333333
1,21,0.5566666666666666
1,22,0.47616666666666674
1,23,0.461
1,24,0.4941666666666667
1,25,0.4793333333333334
1,26,0.48516666666666663
1,27,0.47733333333333333
1,28,0.5051666666666667
1,29,0.45283333333333337
1,30,0.44066666666666665
1,31,0.4425
1,32,0.46549999999999997
1,33,0.43700000000000006
1,34,0.43566666666666676
1,35,0.455
1,36,0.4495
1,37,0.4953333333333333
1,38,0.5206666666666666
1,39,0.4628333333333334
1,40,0.45783333333333337
1,41,0.49266666666666675
1,42,0.45033333333333336
1,43,0.5018333333333334
1,44,0.5145
1,45,0.5078333333333334
1,46,0.48050000000000004
1,47,0.4598333333333333
1,48,0.4896666666666667
1,49,0.5065
2,0,0.46033333333333337
2,1,0.5605
2,2,0.5826666666666666
2,3,0.6386666666666668
2,4,0.5423333333333332
2,5,0.597
2,6,0.554
2,7,0.5093333333333333
2,8,0.5898333333333333
2,9,0.6013333333333334
2,10,0.5471666666666667
2,11,0.5529999999999999
2,12,0.5978333333333334
2,13,0.5455000000000001
2,14,0.5978333333333333
2,15,0.5301666666666667
2,16,0.5513333333333333
2,17,0.5026666666666667
2,18,0.515
2,19,0.5116666666666667
2,20,0.49583333333333335
2,21,0.5025000000000001
2,22,0.49150000000000005
2,23,0.4885
2,24,0.49416666666666664
2,25,0.4781666666666667
2,26,0.47383333333333333
2,27,0.4863333333333333
2,28,0.502
2,29,0.484
2,30,0.5075000000000001
2,31,0.5131666666666667
2,32,0.49166666666666664
2,33,0.5066666666666666
2,34,0.5278333333333333
2,35,0.5125
2,36,0.5163333333333333
2,37,0.5128333333333334
2,38,0.5013333333333333
2,39,0.48350000000000004
2,40,0.47833333333333333
2,41,0.5238333333333334
2,42,0.48666666666666664
2,43,0.4910000000000001
2,44,0.5156666666666666
2,45,0.5071666666666667
2,46,0.49416666666666664
2,47,0.4911666666666667
2,48,0.4779999999999999
2,49,0.5026666666666667
